controller_time_s,frame_idx,head_image,wrist_image
1156.988,1,frame_00001.png,frame_00001.png
1157.088,2,frame_00002.png,frame_00002.png
1157.1879999999999,3,frame_00003.png,frame_00003.png
1157.288,4,frame_00004.png,frame_00004.png
1157.388,5,frame_00005.png,frame_00005.png
1157.488,6,frame_00006.png,frame_00006.png
1157.588,7,frame_00007.png,frame_00007.png
1157.6879999999999,8,frame_00008.png,frame_00008.png
1157.788,9,frame_00009.png,frame_00009.png
1157.888,10,frame_00010.png,frame_00010.png
1157.988,11,frame_00011.png,frame_00011.png
1158.088,12,frame_00012.png,frame_00012.png
1158.1879999999999,13,frame_00013.png,frame_00013.png
1158.288,14,frame_00014.png,frame_00014.png
1158.388,15,frame_00015.png,frame_00015.png
1158.488,16,frame_00016.png,frame_00016.png
1158.588,17,frame_00017.png,frame_00017.png
1158.6879999999999,18,frame_00018.png,frame_00018.png
1158.788,19,frame_00019.png,frame_00019.png
1158.888,20,frame_00020.png,frame_00020.png
1158.988,21,frame_00021.png,frame_00021.png
1159.088,22,frame_00022.png,frame_00022.png
1159.1879999999999,23,frame_00023.png,frame_00023.png
1159.288,24,frame_00024.png,frame_00024.png
1159.388,25,frame_00025.png,frame_00025.png
1159.488,26,frame_00026.png,frame_00026.png
1159.588,27,frame_00027.png,frame_00027.png
1159.6879999999999,28,frame_00028.png,frame_00028.png
1159.788,29,frame_00029.png,frame_00029.png
1159.888,30,frame_00030.png,frame_00030.png
1159.988,31,frame_00031.png,frame_00031.png
1160.088,32,frame_00032.png,frame_00032.png
1160.1879999999999,33,frame_00033.png,frame_00033.png
1160.288,34,frame_00034.png,frame_00034.png
1160.388,35,frame_00035.png,frame_00035.png
1160.488,36,frame_00036.png,frame_00036.png
1160.588,37,frame_00037.png,frame_00037.png
1160.6879999999999,38,frame_00038.png,frame_00038.png
1160.788,39,frame_00039.png,frame_00039.png
1160.888,40,frame_00040.png,frame_00040.png
1160.988,41,frame_00041.png,frame_00041.png
1161.088,42,frame_00042.png,frame_00042.png
1161.1879999999999,43,frame_00043.png,frame_00043.png
1161.288,44,frame_00044.png,frame_00044.png
1161.388,45,frame_00045.png,frame_00045.png
1161.488,46,frame_00046.png,frame_00046.png
1161.588,47,frame_00047.png,frame_00047.png
1161.6879999999999,48,frame_00048.png,frame_00048.png
1161.788,49,frame_00049.png,frame_00049.png
1161.888,50,frame_00050.png,frame_00050.png
1161.988,51,frame_00051.png,frame_00051.png
1162.088,52,frame_00052.png,frame_00052.png
1162.1879999999999,53,frame_00053.png,frame_00053.png
